"county_state","cum.case.num"
"Clinton County_IL",1309
"Clinton County_IN",696
"Clinton County_KY",144
"Clinton County_MI",746
"Clinton County_MO",269
"Clinton County_NY",170
"Clinton County_OH",330
"Clinton County_PA",217
"Cloud County_KS",74
"Coahoma County_MS",1189
"Coal County_OK",74
"Cobb County_GA",20054
"Cochise County_AZ",1919
"Cochran County_TX",59
"Cocke County_TN",793
"Coconino County_AZ",4291
"Codington County_SD",1001
"Coffee County_AL",1472
"Coffee County_GA",2100
"Coffee County_TN",1411
"Coffey County_KS",132
"Coke County_TX",53
"Colbert County_AL",1744
"Cole County_MO",1797
"Coleman County_TX",80
"Coles County_IL",1564
"Colfax County_NE",800
"Colfax County_NM",39
"Colleton County_SC",1081
"Collier County_FL",12920
"Collin County_TX",15610
"Collingsworth County_TX",19
"Colonial Heights city_VA",268
"Colorado County_TX",490
"Colquitt County_GA",1922
"Columbia County_AR",565
"Columbia County_FL",3901
"Columbia County_GA",3875
"Columbia County_NY",608
"Columbia County_OR",207
"Columbia County_PA",963
"Columbia County_WA",14
"Columbia County_WI",900
"Columbiana County_OH",1991
"Columbus County_NC",1429
"Colusa County_CA",539
"Comal County_TX",2757
"Comanche County_KS",14
"Comanche County_OK",1773
"Comanche County_TX",310
"Concho County_TX",136
"Concordia Parish_LA",521
"Conecuh County_AL",540
"Conejos County_CO",36
"Contra Costa County_CA",17322
"Converse County_WY",159
"Conway County_AR",297
"Cook County_GA",555
"Cook County_IL",149127
"Cook County_MN",7
"Cooke County_TX",461
"Cooper County_MO",475
"Coos County_NH",22
"Coos County_OR",179
"Coosa County_AL",179
"Copiah County_MS",1247
"Corson County_SD",94
"Cortland County_NY",223
"Coryell County_TX",1839
"Coshocton County_OH",241
"Costilla County_CO",33
"Cottle County_TX",30
"Cotton County_OK",71
"Cottonwood County_MN",240
"Covington city_VA",33
"Covington County_AL",1480
"Covington County_MS",847
"Coweta County_GA",2675
"Cowley County_KS",420
"Cowlitz County_WA",704
"Craig County_OK",525
"Craig County_VA",31
"Craighead County_AR",3287
"Crane County_TX",72
"Craven County_NC",1819
"Crawford County_AR",1575
"Crawford County_GA",171
"Crawford County_IA",1152
"Crawford County_IL",491
"Crawford County_IN",123
"Crawford County_KS",1163
"Crawford County_MI",127
"Crawford County_MO",426
"Crawford County_OH",274
"Crawford County_PA",330
"Crawford County_WI",209
"Creek County_OK",1258
"Crenshaw County_AL",547
"Crisp County_GA",588
"Crittenden County_AR",2007
"Crittenden County_KY",124
"Crockett County_TN",593
"Crockett County_TX",164
"Crook County_OR",63
"Crook County_WY",49
"Crosby County_TX",89
"Cross County_AR",487
"Crow Wing County_MN",647
"Crowley County_CO",74
"Culberson County_TX",55
"Cullman County_AL",1971
"Culpeper County_VA",1226
"Cumberland County_IL",222
"Cumberland County_KY",109
"Cumberland County_ME",2357
"Cumberland County_NC",5839
"Cumberland County_NJ",3815
"Cumberland County_PA",1978
"Cumberland County_TN",1298
"Cumberland County_VA",107
"Cuming County_NE",189
"Currituck County_NC",194
"Curry County_NM",919
"Curry County_OR",32
"Custer County_CO",18
"Custer County_ID",72
"Custer County_MT",122
"Custer County_NE",104
"Custer County_OK",792
"Custer County_SD",196
"Cuyahoga County_OH",17995
"Dade County_GA",290
"Dade County_MO",83
"Daggett County_UT",1
"Dakota County_MN",8034
"Dakota County_NE",2315
"Dale County_AL",1513
"Dallam County_TX",261
"Dallas County_AL",1808
"Dallas County_AR",171
"Dallas County_IA",2935
"Dallas County_MO",222
"Dallas County_TX",83795
"Dane County_WI",10987
"Daniels County_MT",6
"Danville City_VA",958
"Dare County_NC",289
"Darke County_OH",908
"Darlington County_SC",2122
"Dauphin County_PA",3966
"Davidson County_NC",2998
"Davidson County_TN",27360
"Davie County_NC",608
"Daviess County_IN",719
"Daviess County_KY",1554
"Daviess County_MO",152
"Davis County_IA",134
"Davis County_UT",5725
"Davison County_SD",423
"Dawes County_NE",141
"Dawson County_GA",848
"Dawson County_MT",89
"Dawson County_NE",1109
"Dawson County_TX",503
"Day County_SD",101
"De Baca County_NM",1
"De Soto Parish_LA",922
"De Witt County_IL",142
"Deaf Smith County_TX",906
"Dearborn County_IN",723
"Decatur County_GA",1211
"Decatur County_IA",75
"Decatur County_IN",493
"Decatur County_KS",30
"Decatur County_TN",566
"Deer Lodge County_MT",194
"Defiance County_OH",382
"DeKalb County_AL",2623
"DeKalb County_GA",19166
"DeKalb County_IL",1745
"DeKalb County_IN",533
"DeKalb County_MO",164
"DeKalb County_TN",598
"Del Norte County_CA",152
"Delaware County_IA",505
"Delaware County_IN",2179
"Delaware County_NY",141
"Delaware County_OH",2458
"Delaware County_OK",873
"Delaware County_PA",11746
"Delta County_CO",191
"Delta County_MI",709
"Delta County_TX",29
"Denali Borough_AK",10
"Dent County_MO",152
"Denton County_TX",12425
"Denver County_CO",13894
"Des Moines County_IA",896
"Deschutes County_OR",917
"Desha County_AR",320
"DeSoto County_FL",1582
"DeSoto County_MS",5825
"Deuel County_NE",4
"Deuel County_SD",97
"Dewey County_OK",72
"Dewey County_SD",179
"DeWitt County_TX",996
"Dickens County_TX",50
"Dickenson County_VA",103
"Dickey County_ND",143
"Dickinson County_IA",577
"Dickinson County_KS",231
"Dickinson County_MI",215
"Dickson County_TN",1360
"Dillingham Census Area_AK",9
"Dillon County_SC",1122
"Dimmit County_TX",259
"Dinwiddie County_VA",421
"Divide County_ND",9
"Dixie County_FL",837
"Dixon County_NE",119
"Doddridge County_WV",32
"Dodge County_GA",440
"Dodge County_MN",283
"Dodge County_NE",1296
"Dodge County_WI",2250
"Dolores County_CO",3
"Dona Ana County_NM",3678
"Doniphan County_KS",120
"Donley County_TX",66
"Dooly County_GA",346
"Door County_WI",463
"Dorchester County_MD",615
"Dorchester County_SC",4285
"Dougherty County_GA",3183
"Douglas County_CO",2803
"Douglas County_GA",3682
"Douglas County_IL",347
"Douglas County_KS",2411
"Douglas County_MN",430
"Douglas County_MO",231
"Douglas County_NE",17174
"Douglas County_NV",323
"Douglas County_OR",259
"Douglas County_SD",103
"Douglas County_WA",1196
"Douglas County_WI",555
"Drew County_AR",363
"Dubois County_IN",1078
"Dubuque County_IA",3731
"Duchesne County_UT",109
"Dukes County_MA",83
"Dundy County_NE",14
"Dunklin County_MO",875
"Dunn County_ND",131
"Dunn County_WI",715
"DuPage County_IL",18305
"Duplin County_NC",2492
"Durham County_NC",7985
"Dutchess County_NY",5187
"Duval County_FL",31056
